base_word,rhyme_candidate,score
poszum,bum,0.45
rozum,neum,0.45
rozum,multum,0.5
zrozum,antycentrum,0.4
zrozum,armistycjum,0.4
bum,opossum,0.9
bum,tribulum,0.9
Chnum,iteratiwum,0.8
Chnum,neum,1.0
afgańską,mogilską,0.58
afgańską,docieką,0.5
agrafką,dynamiką,0.45
agrafką,rorancką,0.5
arabską,birofilistką,0.4
arabską,tendencyjką,0.45
kanapką,czerwieńską,0.5
kanapką,turynką,0.5
karafką,murowską,0.5
karafką,furiacką,0.5
latarką,trapezistką,0.45
latarką,ceperską,0.5
malarką,linierską,0.5
malarką,gzymsówką,0.5
Natalką,chorwacką,0.5
Natalką,gołębiarską,0.45
prababką,bajerantką,0.45
prababką,adriatycką,0.45
sadzawką,chlupką,0.45
sadzawką,telematyką,0.4
szatańską,żółkiewską,0.6
szatańską,meliką,0.5
warszawską,czosnowską,0.64
warszawską,wczesnoludzką,0.45
zabawką,kuwaską,0.5
zabawką,trzebielińską,0.45
zagadką,bolońską,0.5
zagadką,łajdaczką,0.5
mariacką,radżpucką,0.6
mariacką,trzykółką,0.5
wariatką,egretką,0.6
wariatką,brandenburką,0.45
nataką,jarosławiecką,0.4
nataką,bawarką,0.5
tabaką,birbancką,0.5
tabaką,kobijką,0.5
najdalszą,ucioszą,0.58
najdalszą,giemzą,0.45
zadartą,szarańczakowatą,0.35
zadartą,cnotą,0.45
urzędem,folksdojczem,0.5
urzędem,termoprenem,0.45
mrugnięciem,uniewinnieniem,0.4
mrugnięciem,umizgiwaniem,0.4
obrębem,grantem,0.45
obrębem,stępem,0.45
dostępem,epifonemem,0.4
dostępem,łódkarzem,0.5
Okęciem,samonakręcaniem,0.3
Okęciem,błyskiem,0.5
okrętem,generatorem,0.4
okrętem,golemem,0.5
orężem,amoniakowałem,0.35
orężem,aśramem,0.5
poczęciem,hukiem,0.45
poczęciem,ubliżeniem,0.45
podstępem,mukoproteidem,0.35
podstępem,ligurytem,0.45
rozpędem,testatorem,0.45
rozpędem,kabulem,0.5
cmoknięciem,zadaniem,0.5
cmoknięciem,monachijczykiem,0.4
dotknięciem,bożęciem,0.64
dotknięciem,hipochondrykiem,0.4
pojęciem,dystansowaniem,0.4
pojęciem,odziedziczeniem,0.4
łabędziem,mieszkankiem,0.5
łabędziem,naddźwiernikiem,0.45
napędem,mężem,0.45
napędem,himationem,0.45
naręczem,ambligonitem,0.4
naręczem,dekomunizatorem,0.3
narzędziem,fedrowaniem,0.45
narzędziem,giloszowaniem,0.4
zacięciem,chutornikiem,0.45
zacięciem,ukrzywdzaniem,0.45
zaklęciem,hipernikiem,0.45
zaklęciem,antymobbingiem,0.4
zakrętem,łyżwiarzem,0.5
zakrętem,tropowcem,0.5
odkryciu,gdaknięciu,0.5
odkryciu,capnięciu,0.5
okryciu,chuchnięciu,0.5
okryciu,dogięciu,0.5
pożyciu,pipciu,0.45
pożyciu,wkłuciu,0.45
zdobyciu,udźwignięciu,0.45
zdobyciu,chudnięciu,0.5
dotyku,tosowsku,0.5
dotyku,lubowidzku,0.45
koszyku,testersku,0.5
koszyku,afrykanersku,0.4
Londynu,flakonu,0.5
Londynu,embrionu,0.5
motywu,bzdurstwu,0.45
motywu,łąkarstwu,0.5
odczytu,adamsytu,0.55
odczytu,boehmitu,0.45
okrzyku,danajsku,0.5
okrzyku,zabajkalsku,0.45
pobytu,jarozytu,0.62
pobytu,nachwytu,0.67
pokrzyku,dydku,0.45
pokrzyku,rappersku,0.5
popytu,astygmatu,0.45
popytu,majorytetu,0.4
porywu,bestialstwu,0.5
porywu,gorseciarstwu,0.45
promyku,bzieńsku,0.45
promyku,teksańsku,0.5
dobytku,czytyjsku,0.5
dobytku,jedynaczku,0.45
koszyczku,inkwizytorsku,0.4
